url,title,seendate,domain,language,sourcecountry,headline_mention,outlet_type
https://www.latimes.com/california/story/2022-04-25/california-attorney-general-election,California attorney general race could be 2022 biggest,20220425T140000Z,latimes.com,English,United States,False,national
https://www.foxnews.com/opinion/tucker-americans-laws-voted-enforced,"Tucker Carlson : When the law is applied on the basis of skin color , people die",20220422T040000Z,foxnews.com,English,United States,False,national
https://www.sfchronicle.com/bayarea/article/Fed-up-nurses-walk-out-at-Sutter-Health-and-17089207.php,Fed - up nurses walk out at Sutter Health and prepare to strike at Stanford hospitals,20220419T024500Z,sfchronicle.com,English,United States,False,local
https://www.sfchronicle.com/politics/article/california-assembly-district-17-17089239.php,Voters will pick new Assembly member in race where housing has loomed large,20220419T173000Z,sfchronicle.com,English,United States,False,local
https://www.latimes.com/world-nation/newsletter/2022-04-25/big-tobacco-black-communities-menthol-todays-headlines-newsletter-todays-headlines,Today Headlines : Big Tobacco stokes fears in Black communities to keep menthol cigarettes,20220425T134500Z,latimes.com,English,United States,False,national
https://theweek.com/democrats/1012788/from-san-francisco-another-sign-of-progressives-burgeoning-discontent-with-urban,"From San Francisco , another sign of progressive burgeoning discontent with urban decay",20220420T201500Z,theweek.com,English,United States,False,unclassified
https://www.sfchronicle.com/sf/bayarea/heatherknight/article/Castro-Theater-vandalism-17120635.php,"Castro Theatre vandalism shows what wrong with S . F . justice system , treatment programs",20220423T150000Z,sfchronicle.com,English,United States,False,local
https://www.theepochtimes.com/las-crime-surge-migrates-to-wealthy-whiter-zip-codes-of-boldface-names_4410644.html,"LA Crime Surge Migrates to Wealthy , Whiter Zip Codes of Boldface Names",20220424T020000Z,theepochtimes.com,English,United States,False,unclassified
https://sfist.com/2022/04/20/matt-haney-claims-victory-in-assembly-race-giving-mayor-breed-a-board-seat-appointment/,"Matt Haney Claims Victory In Assembly Race , Giving Mayor Breed a Board Seat Appointment",20220420T200000Z,sfist.com,English,United States,False,local
https://sfbayview.com/2022/04/chesa-boudin-dares-to-wage-war-against-systemic-injustice/,Chesa Boudin dares to wage war against systemic injustice – but will he be struck down before making headway ? ,20220419T054500Z,sfbayview.com,English,United States,True,local
https://www.fairfieldsuntimes.com/news/investigative_reports/la-s-crime-surge-migrates-to-wealthy-whiter-zip-codes-of-boldface-names/article_b05286a3-7cbe-5526-9287-1f72365b75d0.html,"LA Crime Surge Migrates to Wealthy , Whiter Zip Codes of Boldface Names | Investigative Reports",20220425T193000Z,fairfieldsuntimes.com,English,United States,False,unclassified
https://townhall.com/tipsheet/leahbarkoukis/2022/04/27/chesa-boudin-sf-recall-n2606357,It Looks Like Progressive San Francisco DA Chesa Boudin Is in Political Trouble,20220427T153000Z,townhall.com,English,United States,True,unclassified
https://www.sfchronicle.com/opinion/letterstotheeditor/article/reader-response-chesa-boudin-recall-17126023.php,What readers are saying about The Chronicle editorial opposing the Boudin recall,20220426T140000Z,sfchronicle.com,English,United States,True,local
https://www.sfchronicle.com/opinion/openforum/article/chesa-boudin-asian-violence-17137278.php,Chesa Boudin recallers claim ditching the D . A . will help end anti - Asian violence . Are they right ? ,20220430T124500Z,sfchronicle.com,English,United States,True,local
https://www.foxnews.com/us/san-francisco-activist-says-were-not-going-to-move-were-fighting-as-drugs-and-crime-consume-bay-area,"San Francisco activist says ,  were not going to move , were fighting , as drugs and crime consume Bay Area",20220427T063000Z,foxnews.com,English,United States,False,national
https://www.bizpacreview.com/2022/04/27/desantis-points-to-san-fran-dumpster-fire-worries-dems-will-move-to-fl-and-vote-the-exact-same-way-1230989/,"DeSantis points to San Fran  dumpster fire , worries Dems will move to FL and  vote the exact same way  ",20220427T164500Z,bizpacreview.com,English,United States,False,unclassified
https://hotair.com/jazz-shaw/2022/04/26/chesa-boudins-future-employment-prospects-still-appear-bleak-n465007,Chesa Boudin future employment prospects still appear bleak,20220426T203000Z,hotair.com,English,United States,True,unclassified
https://www.msn.com/en-us/news/crime/criminal-justice-reform-takes-time-california-might-be-out-of-patience/ar-AAWH1HP,Criminal - Justice Reform Takes Time . California Might Be Out of Patience . ,20220428T113000Z,msn.com,English,United States,False,unclassified
https://www.theatlantic.com/politics/archive/2022/04/san-francisco-los-angeles-da-recalls/629701/,The Next Hurdle for Criminal - Justice Reformers,20220428T121500Z,theatlantic.com,English,United States,False,national
https://www.ebar.com/news/news/315052,Bay Area Reporter :: Editorial : Reject the recall of SF DA Boudin,20220427T214500Z,ebar.com,English,United States,True,unclassified
https://www.ebar.com/index.php?id=315052,Bay Area Reporter :: Editorial : Reject the recall of SF DA Boudin,20220428T003000Z,ebar.com,English,United States,True,unclassified
https://www.usatoday.com/story/opinion/columnist/2022/04/28/criminal-justice-broken-progressive-prosecutors/9552238002/,Criminal justice broken : Progressive prosecutors trying to fix system,20220428T101500Z,usatoday.com,English,United States,False,national
